MEMBERID,FXJ,FYJ,MZJ,FXK,FYK,MZK
BD6E6,1717.41810667515,267248.620773505,160857060.879103,-1717.41810667515,420751.379226495,-928370853.144053
BE6F6,-1309.51161700487,344000,0,1309.51161700487,344000,0
BF6G6,-651.823382854462,201281.992213122,-418252096.798407,651.823382854462,521118.007786878,-1260886984.96381
BA7B7,30637.9720396996,343665.763870874,329256387.205865,-30637.9720396996,378734.236129126,-513365866.561687
BB7C7,17277.1773940623,344000,0,-17277.1773940623,344000,0
BC7D7,10649.2156244814,235795.574275486,-136517885.380395,-10649.2156244814,452204.425724514,-945526371.864745
BD7E7,3189.31642994285,269593.418576212,166617431.391038,-3189.31642994285,418406.581423788,-910683245.628921
BE7F7,-216.148858368397,344000,0,216.148858368397,344000,0
BF7G7,-108.578572824597,200880.774638103,-420360656.948223,108.578572824597,521519.225361897,-1262991209.3517
BA8B8,31375.6853724718,357267.802045691,400668458.168904,-31375.6853724718,365132.197954309,-441956536.689151
BB8C8,18751.5933503509,344000,0,-18751.5933503509,344000,0
